reshape,rigin
65.222,65.222
63.756000000000014,63.756
61.47500000000001,61.475
60.232,60.232
60.875,60.875
63.045000000000016,63.045
65.25500000000001,65.255
66.855,66.855
68.05100000000002,68.051
68.86200000000002,68.862
68.82400000000001,68.824
68.525,68.525
69.12800000000001,69.128
71.006,71.006
72.67800000000001,72.678
72.87600000000002,72.876
72.03100000000002,72.031
72.10200000000002,72.102
73.126,73.126
73.143,73.143
72.06500000000001,72.065
71.91700000000002,71.917
73.733,73.733
75.05000000000001,75.05
73.97600000000003,73.976
71.62200000000001,71.622
69.58200000000001,69.582
68.34600000000002,68.346
67.60900000000001,67.609
67.332,67.332
67.99900000000001,67.999
69.24500000000002,69.245
70.734,70.734
71.466,71.466
70.496,70.496
67.373,67.373
63.11,63.11
59.248000000000005,59.248
56.68900000000001,56.689
54.870000000000005,54.87
54.19400000000002,54.194
56.369000000000014,56.369
60.927000000000014,60.927
66.15600000000002,66.156
70.558,70.558
73.84400000000001,73.844
75.949,75.949
76.93000000000002,76.93
76.85400000000001,76.854
76.05700000000002,76.057
75.554,75.554
75.862,75.862
76.94300000000001,76.943
77.56800000000001,77.568
77.019,77.019
75.40200000000002,75.402
73.57400000000001,73.574
72.22800000000001,72.228
71.88100000000001,71.881
72.413,72.413
73.54100000000001,73.541
73.97400000000003,73.974
72.43800000000002,72.438
68.91,68.91
65.729,65.729
64.70900000000002,64.709
65.883,65.883
67.307,67.307
68.48200000000001,68.482
70.95800000000001,70.958
75.514,75.514
80.14200000000001,80.142
80.76600000000002,80.766
76.98400000000001,76.984
71.311,71.311
67.475,67.475
66.50600000000001,66.506
67.65400000000001,67.654
68.93700000000001,68.937
69.394,69.394
69.14100000000002,69.141
68.707,68.707
67.77800000000003,67.778
66.39900000000002,66.399
65.143,65.143
63.897999999999996,63.898
62.20700000000001,62.207
60.68000000000001,60.68
60.949000000000005,60.949
62.91200000000001,62.912
64.96900000000001,64.969
66.95300000000002,66.953
69.73900000000002,69.739
73.22500000000001,73.225
75.36300000000001,75.363
75.00700000000002,75.007
72.93600000000002,72.936
70.806,70.806
69.151,69.151
67.8,67.8
66.91300000000001,66.913
67.01500000000001,67.015
68.5,68.5
70.73400000000001,70.734
72.52200000000002,72.522
72.838,72.838
72.77800000000002,72.778
73.65100000000001,73.651
75.263,75.263
75.685,75.685
73.83100000000002,73.831
70.46100000000001,70.461
66.958,66.958
63.709,63.709
60.39200000000001,60.392
57.55800000000001,57.558
56.845000000000006,56.845
58.09000000000001,58.09
60.178000000000004,60.178
62.50300000000001,62.503
65.61,65.61
69.599,69.599
71.77400000000002,71.774
70.407,70.407
67.18700000000001,67.187
66.25800000000001,66.258
68.51700000000001,68.517
72.115,72.115
75.20000000000003,75.2
77.34600000000002,77.346
77.15,77.15
73.80100000000002,73.801
68.44600000000001,68.446
63.55200000000001,63.552
60.048000000000016,60.048
57.71000000000001,57.71
56.984,56.984
57.87200000000001,57.872
59.918,59.918
62.44100000000001,62.441
65.20500000000001,65.205
68.041,68.041
70.106,70.106
70.94300000000001,70.943
70.98800000000001,70.988
70.64100000000003,70.641
69.81900000000002,69.819
68.327,68.327
66.70100000000001,66.701
65.83,65.83
66.21500000000002,66.215
67.509,67.509
68.399,68.399
68.049,68.049
67.28500000000001,67.285
66.84600000000002,66.846
66.65,66.65
67.05100000000002,67.051
68.62900000000002,68.629
69.81200000000001,69.812
68.21400000000001,68.214
63.17600000000001,63.176
57.418,57.418
53.37,53.37
51.241,51.241
49.833,49.833
48.326,48.326
47.356,47.356
47.964,47.964
49.848,49.848
